iter	Passed	Remaining
0	137	137226
1	141	70701
2	145	48405
3	149	37149
4	153	30490
5	156	25972
6	160	22789
7	163	20240
8	166	18320
9	168	16719
10	172	15485
11	175	14446
12	177	13469
13	179	12663
14	182	12011
15	185	11424
16	188	10883
17	190	10411
18	193	9970
19	195	9585
20	198	9232
21	200	8895
22	202	8592
23	204	8309
24	205	8014
25	206	7735
26	208	7525
27	211	7330
28	213	7139
29	214	6934
30	215	6743
31	216	6551
32	217	6378
33	218	6219
34	220	6070
35	221	5931
36	222	5800
37	224	5672
38	224	5537
39	225	5412
40	226	5298
41	227	5188
42	228	5086
43	229	4989
44	230	4889
45	231	4793
46	231	4702
47	232	4614
48	233	4535
49	234	4464
50	236	4395
51	237	4322
52	237	4251
53	238	4181
54	239	4113
55	240	4050
56	240	3985
57	241	3924
58	242	3864
59	242	3806
60	243	3749
61	244	3693
62	244	3642
63	245	3590
64	246	3540
65	246	3491
66	247	3444
67	247	3396
68	248	3353
69	249	3311
70	249	3268
71	250	3227
72	250	3186
73	251	3147
74	251	3107
75	252	3070
76	253	3033
77	253	2998
78	254	2964
79	254	2930
80	255	2896
81	255	2864
82	256	2832
83	257	2803
84	257	2771
85	258	2743
86	258	2713
87	259	2685
88	259	2657
89	260	2630
90	260	2605
91	261	2580
92	262	2555
93	262	2531
94	263	2506
95	263	2482
96	264	2459
97	264	2436
98	265	2413
99	265	2391
100	266	2369
101	266	2347
102	267	2326
103	267	2305
104	268	2285
105	268	2266
106	269	2246
107	269	2227
108	270	2209
109	270	2191
110	271	2173
111	271	2155
112	272	2137
113	272	2120
114	273	2103
115	273	2086
116	274	2070
117	275	2056
118	275	2040
119	276	2025
120	276	2009
121	277	1994
122	277	1978
123	277	1963
124	278	1949
125	279	1935
126	279	1922
127	280	1907
128	280	1893
129	280	1880
130	281	1867
131	282	1854
132	282	1841
133	283	1829
134	283	1817
135	284	1805
136	284	1794
137	285	1781
138	285	1770
139	286	1758
140	287	1748
141	287	1738
142	288	1728
143	288	1717
144	289	1707
145	290	1696
146	290	1686
147	291	1675
148	291	1665
149	292	1655
150	292	1645
151	293	1635
152	293	1626
153	294	1616
154	294	1607
155	295	1597
156	295	1588
157	296	1579
158	296	1570
159	297	1562
160	298	1553
161	298	1544
162	299	1536
163	299	1527
164	300	1519
165	300	1511
166	301	1504
167	302	1497
168	303	1489
169	303	1482
170	304	1474
171	304	1466
172	305	1458
173	305	1451
174	306	1443
