iter	Passed	Remaining
0	158	157941
1	161	80585
2	164	54589
3	166	41504
4	169	33765
5	172	28645
6	176	25060
7	178	22098
8	180	19825
9	181	17984
10	183	16479
11	184	15221
12	186	14135
13	187	13203
14	188	12384
15	189	11672
16	190	11021
17	191	10446
18	192	9931
19	193	9473
20	194	9078
21	195	8690
22	196	8336
23	197	8014
24	197	7713
25	198	7435
26	199	7175
27	199	6934
28	200	6710
29	200	6498
30	201	6302
31	202	6116
32	202	5942
33	203	5783
34	204	5629
35	204	5482
36	205	5346
37	206	5216
38	206	5091
39	207	4975
40	207	4864
41	208	4761
42	209	4661
43	210	4563
44	210	4471
45	211	4381
46	211	4295
47	212	4212
48	213	4134
49	213	4057
50	214	3983
51	214	3912
52	215	3844
53	215	3778
54	216	3714
55	216	3654
56	217	3595
57	217	3539
58	218	3484
59	218	3430
60	219	3378
61	219	3328
62	220	3279
63	221	3232
64	221	3186
65	222	3143
66	222	3099
67	223	3059
68	223	3021
69	224	2983
70	225	2946
71	225	2908
72	226	2873
73	226	2838
74	227	2805
75	228	2772
76	228	2742
77	229	2711
78	229	2680
79	230	2651
80	231	2621
81	231	2592
82	231	2562
83	232	2537
84	233	2511
85	233	2485
86	234	2460
87	234	2435
88	235	2410
89	236	2386
90	236	2363
91	237	2341
92	237	2319
93	238	2299
94	239	2278
95	239	2257
96	240	2237
97	240	2217
98	241	2197
99	242	2178
100	242	2158
101	243	2140
102	243	2122
103	244	2103
104	244	2085
105	245	2068
106	245	2052
107	246	2035
108	247	2019
109	247	2003
110	248	1987
111	248	1971
112	249	1956
113	249	1941
114	250	1926
115	250	1911
116	251	1896
117	251	1883
118	252	1869
119	253	1856
120	253	1843
121	254	1829
122	255	1818
123	255	1805
124	256	1793
125	256	1781
126	257	1768
127	257	1757
128	258	1747
129	259	1735
130	260	1725
131	260	1714
132	261	1703
133	261	1693
134	262	1681
135	262	1670
136	263	1660
137	264	1649
138	264	1638
139	265	1628
140	265	1617
141	265	1606
142	266	1596
143	267	1587
144	267	1578
145	268	1568
146	268	1559
147	269	1550
148	269	1541
149	270	1532
150	270	1523
151	271	1514
152	272	1505
153	272	1497
154	273	1488
155	273	1480
156	274	1471
157	274	1463
158	275	1454
159	275	1447
160	276	1438
161	276	1430
162	277	1422
163	277	1415
164	278	1407
165	278	1399
166	279	1392
167	279	1384
168	280	1377
169	280	1370
170	281	1362
171	281	1355
172	282	1348
173	282	1341
174	283	1334
175	283	1327
176	284	1321
177	284	1315
178	285	1308
179	285	1301
180	286	1295
181	286	1289
182	287	1282
183	287	1276
184	288	1270
185	288	1263
186	289	1257
187	289	1251
188	290	1245
189	290	1239
190	291	1233
191	291	1228
192	292	1223
193	293	1218
194	293	1212
195	294	1207
196	294	1201
197	295	1197
198	296	1192
199	296	1187
200	297	1182
201	297	1176
202	298	1172
203	299	1168
204	300	1163
205	300	1160
206	301	1156
207	302	1151
208	303	1147
209	304	1144
210	304	1139
211	305	1134
212	305	1130
213	306	1125
214	306	1120
215	307	1115
216	307	1110
217	308	1105
218	308	1101
219	309	1097
220	310	1092
221	310	1088
222	310	1083
223	311	1079
224	311	1074
225	312	1070
226	312	1065
227	313	1061
228	313	1057
229	314	1053
230	315	1050
231	316	1046
232	316	1042
233	317	1037
234	317	1033
235	318	1029
236	318	1025
237	319	1021
238	319	1017
239	320	1013
240	320	1009
241	320	1005
242	321	1001
243	322	997
244	322	994
245	323	990
246	323	986
247	324	982
248	324	979
249	325	975
250	325	971
251	326	968
252	326	964
253	327	961
254	327	957
255	328	954
256	328	950
257	329	947
258	330	944
259	330	941
260	331	937
261	331	934
262	332	930
